trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.015, 'e': 0.9998875021093592}",25,0,-86.58572331275329,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.015, 'e': 0.9995500337489875}",30,0,-245.6198053131865,"{0: 14, 1: 7, 2: 4, 3: 1, 4: 4}",0
3,False,"{'a': 0.015, 'e': 0.9989876708478425}",20,0,-150.78112469022088,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.015, 'e': 0.9982005399352042}",30,0,-228.17490709881415,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 5}",0
5,False,"{'a': 0.015, 'e': 0.9971888181122075}",20,0,-131.7248293076114,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 0.015, 'e': 0.9959527330119943}",30,0,-245.26912533634845,"{0: 11, 1: 3, 2: 10, 3: 5, 4: 1}",0
7,False,"{'a': 0.015, 'e': 0.9944925627484974}",25,1,-207.95279666272458,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 4}",1
8,False,"{'a': 0.015, 'e': 0.9928086358538663}",25,0,-105.82665686662779,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.015, 'e': 0.9909013312045479}",20,0,-165.3317081699189,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
10,False,"{'a': 0.015, 'e': 0.9887710779360422}",30,0,-176.50641338129867,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
11,False,"{'a': 0.015, 'e': 0.9864183553463477}",25,0,-168.6514623255169,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.015, 'e': 0.9838436927881214}",20,0,-162.31819661451203,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.015, 'e': 0.9810476695495772}",25,0,-97.304224045057,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
14,False,"{'a': 0.015, 'e': 0.9780309147241483}",20,0,-109.60095311560633,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.015, 'e': 0.9747941070689433}",20,0,-118.1472965242192,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.015, 'e': 0.9713379748520296}",20,0,-160.202475816121,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.015, 'e': 0.9676632956885756}",30,0,-97.47357862966064,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.015, 'e': 0.9637708963658905}",25,0,-62.791766627133555,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.015, 'e': 0.9596616526574011}",20,0,-132.89567132912128,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.015, 'e': 0.955336489125606}",20,12,-7.405705591540692,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.015, 'e': 0.9507963789140532}",30,0,-137.85001868377708,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
22,False,"{'a': 0.015, 'e': 0.946042343528387}",20,0,-148.37676330730534,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 0.015, 'e': 0.941075452606513}",25,0,-121.26745061360337,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
