trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.42826830813478,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,3,-58.533611733037056,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.75656253879266,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.79918217173125,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,6,-57.38988534609551,"{0: 6, 1: 3, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-33.46254343259761,"{0: 21, 1: 7, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.53672748503071,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,14,-57.34483376698998,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-291.42684279753837,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,12,-47.737097780093485,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,16,-85.1185189144483,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.19649759807027,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.50821487696584,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.95979888773624,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.9297975791676,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-10.555245789433808,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,5,-50.697826672055164,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.5975715256071,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.58232889111578,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.0766179989689,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-185.6193826093599,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-120.85445823450016,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-114.37510315347279,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-57.78295941335568,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-212.761408714786,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.908013624701944,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-176.26743197211545,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.00718127948015,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-339.4383966604832,"{0: 13, 1: 4, 2: 13, 3: 0, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.82660576523344,"{0: 6, 1: 5, 2: 8, 3: 0, 4: 1}",0
